Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
150674111712306,OBYČAJNÍ ĽUDIA a nezávislé osobnosti,OBYČAJNÍ ĽUDIA a nezávislé osobnosti,52230,273
163449818290,KDH,KDH,23550,403
309315359104222,Milan Majerský,KDH,20079,321
600235073447674,Sme rodina,Sme rodina,17646,94
194278021265803,Michal Šimečka • Progresívne Slovensko,Progresívne Slovensko,16064,108
101069575386725,Slovensko Zálohuje,‍Správca zálohového systému n.o.,12503,89
71030757230,Sloboda a Solidarita,Sloboda a Solidarita,11936,292
557862947737785,Progresívne Slovensko,Progresívne Slovensko,11791,113
117195501273420,Mali ešte žiť,OZ Pozostalí za spravodlivosť,9964,71
1928247723902365,Humánny pokrok,Humánny pokrok,8511,78
403027089864701,Peter Pellegrini,HLAS - sociálna demokracia,7452,131
184760561603680,Richard Sulik,Sloboda a Solidarita,7115,153
111165370750,Amnesty International Slovakia,Amnesty International Slovakia,6728,31
409652449379928,"Ministerstvo investícií, regionálneho rozvoja a informatizácie SR","Ministerstvo investícií, regionálneho rozvoja a informatizácie Slovenskej republiky",4144,24
194278021265803,Michal Šimečka • Progresívne Slovensko,Michal Šimečka • Progresívne Slovensko,4013,34
732167026967322,Robert Fico,Robert Fico,3793,102
139025019440898,Inštitút ľudských práv - Human Rights Institute,Inštitút ľudských práv - Human Rights Institute,3752,71
53247283454,Hospodárske noviny,Mafra Slovakia a.s.,3730,208
178362315106,European Parliament,European Parliament,3508,201
1501859650125625,Vladimír Bilčík,Vladimír Bilčík,3459,33
403027089864701,Peter Pellegrini,Peter Pellegrini,3339,41
122074554119,EU Social,"Európska Komisia - Zamestnanosť, sociálne záležitosti a začlenenie",3263,7
339528979423925,Aktuality.sk,Ringier Slovakia Media s.r.o.,2878,22
147166706140048,Martin Hojsík,Martin Hojsík • Progresívne Slovensko,2718,12
113775847050590,HLAS - sociálna demokracia,HLAS - sociálna demokracia,2717,83
107271118959010,Dobrý deň Slovensko,Dobrý deň Slovensko,2711,63
100996313315404,Greenpeace Slovensko,Greenpeace Slovensko,2576,30
109669047774695,Brainee.sk,Mafra Slovakia a.s.,2537,370
107264447436170,Marián Viskupič,Sloboda a Solidarita,2351,6
116961031326577,Demokrati,Demokrati,2314,16
102200698451761,Gyimesi György,Gyimesi György - NRSR,2288,25
186953775142661,ESET,"ESET, spol. s r.o.",2228,25
109669047774695,Brainee.sk,"MAFRA Slovakia, a.s.",2217,447
223625988108197,ACN – Pomoc trpiacej Cirkvi,These ads ran without a disclaimer,2151,3
106092371358835,Za právny štát,Občianske združenie ZA DEMOKRACIU A PRÁVNY ŠTÁT,2120,43
105131888394144,Team Bratislava,Team BA,2087,24
147166706140048,Martin Hojsík,Martin Hojsík,2023,35
2308492039426614,Úrad vlády Slovenskej republiky,Úrad vlády Slovenskej republiky,2012,24
113888835378442,IKEA,IKEA,2000,1
231177683632352,Branislav Gröhling - Vzdelanie je budúcnosť krajiny,Sloboda a Solidarita,1981,24
396331590493376,Miroslav Žiak,Sloboda a Solidarita,1930,5
53247283454,Hospodárske noviny,"MAFRA Slovakia, a.s.",1878,131
594790970995799,Miriam Lexmann,Miriam Lexmann,1821,31
283025969119,Odpady-portal.sk,PROPERTY & ENVIRONMENT s.r.o.,1809,219
2322076957827734,Ladislav Kamenický,Ladislav Kamenický,1705,139
1287561881391098,Jem pre Zem,Humánny pokrok,1655,18
1555021474808039,Richard Takáč - poslanec NR SR,Richard Takáč,1617,161
178878375475789,Energie-portal.sk,PROPERTY & ENVIRONMENT s.r.o.,1572,283
118050251681595,BILLA Slovensko,Create4future sro,1570,20
1009998019021765,Forró Krisztián,"Szövetség – Magyarok, nemzetiségek, régiók. Aliancia – Maďari, národnosti, regióny.",1566,30
348063062356711,Dobré rádio,"Dobré médiá, s.r.o",1484,28
935929019771603,Sconto Nábytok,These ads ran without a disclaimer,1454,3
344709529755622,SAPI,SAPI,1434,22
152001744925539,Dobré noviny,"Dobré médiá, s.r.o.",1407,203
107898832590939,European Commission,European Commission,1281,22
104893459551069,Ekotopfilm SK,Ekotopfilm SK,1274,74
2001358070115171,Jaro Polaček,Jaroslav Polaček,1226,63
53798312370,EURACTIV.sk,EURACTIV.sk,1224,127
100896015959210,Magnifica od VÚB banky,These ads ran without a disclaimer,1191,6
210627929528194,Za našu vodu,OZ Za našu vodu,1189,6
482492355256037,"Ministerstvo práce, sociálnych vecí a rodiny Slovenskej republiky","Ministerstvo práce, sociálnych vecí a rodiny Slovenskej republiky",1165,19
